"Month_Year","Assembly_District","Democrat","Green","Independent","Libertarian","Natural Law","Non-Partisan","Other","Republican"
"8.18","Assembly Dist. 01",17656,45,1618,289,0,8214,261,11086
"8.18","Assembly Dist. 02",13412,46,1627,358,0,8502,171,15288
"8.18","Assembly Dist. 03",13519,57,1033,235,0,6239,264,6364
"8.18","Assembly Dist. 04",15738,59,1882,452,0,9056,242,15774
"8.18","Assembly Dist. 05",13455,51,1360,311,0,7118,209,10923
"8.18","Assembly Dist. 06",17013,37,797,161,0,5864,568,2610
"8.18","Assembly Dist. 07",17807,65,1084,189,0,6952,342,5969
"8.18","Assembly Dist. 08",13874,53,1303,330,0,8020,211,8793
"8.18","Assembly Dist. 09",16034,63,1710,438,0,10187,232,12803
"8.18","Assembly Dist. 10",12377,53,998,255,0,5815,245,6164
"8.18","Assembly Dist. 11",11337,41,736,168,0,5208,343,2545
"8.18","Assembly Dist. 12",16390,52,1477,309,0,8182,304,11082
"8.18","Assembly Dist. 13",13135,41,1795,355,0,8180,204,16172
"8.18","Assembly Dist. 14",13486,55,877,180,0,6089,332,4601
"8.18","Assembly Dist. 15",14481,68,1180,276,0,6636,375,5721
"8.18","Assembly Dist. 16",13068,62,1216,361,0,7429,518,5292
"8.18","Assembly Dist. 17",17744,50,1310,286,0,7870,307,8107
"8.18","Assembly Dist. 18",14915,79,1281,322,0,7650,339,7466
"8.18","Assembly Dist. 19",12113,46,1850,284,0,7824,217,14446
"8.18","Assembly Dist. 20",14187,68,1363,325,0,7249,333,8563
"8.18","Assembly Dist. 21",13180,59,1545,333,0,7478,205,10989
"8.18","Assembly Dist. 22",14563,41,1967,405,0,9294,202,17133
"8.18","Assembly Dist. 23",14494,52,2436,414,0,9691,195,21841
"8.18","Assembly Dist. 24",14687,199,1437,521,4,7945,470,7426
"8.18","Assembly Dist. 25",14878,120,1937,529,8,8532,356,19079
"8.18","Assembly Dist. 26",14356,111,2076,613,7,9437,356,20892
"8.18","Assembly Dist. 27",13826,143,1615,453,10,7786,356,10994
"8.18","Assembly Dist. 28",11723,22,682,158,0,5090,285,2836
"8.18","Assembly Dist. 29",14928,60,1706,391,0,8750,242,13586
"8.18","Assembly Dist. 30",13035,114,1487,371,10,6800,304,10163
"8.18","Assembly Dist. 31",13446,106,1918,500,9,7691,288,15753
"8.18","Assembly Dist. 32",8309,49,1703,355,11,6368,183,17845
"8.18","Assembly Dist. 33",5656,17,1747,356,3,5910,114,17303
"8.18","Assembly Dist. 34",14703,58,1414,332,0,7465,243,10122
"8.18","Assembly Dist. 35",17050,48,1911,494,0,11080,246,13981
