Hyperlink_Name,CSV_Name,Within_CSV,,,
22-Jan,Active Voters by Assembly District 1.22,22-Jan,,,
22-Feb,Active Voters by Assembly District 1.22 (1),22-Jan,,,
22-Mar,Active Voters by ASSEMBLY DISTRICT 3.22,22-Apr,,,
22-Apr,Active Voters Voter Registration by ASSEMBLY DISTRICT 4.22,22-May,,,
22-May,Active Voters Voter Registration by ASSEMBLY DISTRICT 6.1,1-Jun,This one is actually 2022 May,,
21-Jan,Active Voters by Assembly District 1.21,21-Feb,,,
21-Feb,Active Voters by Assembly District 2.21,21-Mar,,,
21-Mar,Active Voters by Assembly District 3.21,21-Apr,,,
21-Apr,Active Voters by Assembly District 4.21,21-May,,,
21-May,Active Voters by Assembly District 5.21,21-Jun,,,
21-Jun,Active Voters by Assembly District 6.21,21-Jun,,,
21-Jul,Active Voters by Assembly District 7.21,21-Aug,,,
21-Aug,Active Voters by Assembly District 8.21,21-Sep,,,
21-Sep,Active Voters by Assembly District 9.21,21-Oct,,,
21-Oct,Active Voters by Assembly District 10.21,21-Nov,,,
21-Nov,Active Voters by Assembly District 11.21,21-Dec,,,
21-Dec,Active Voters by Assembly District 12.21,22-Jan,,,
20-Jan,Active Voters by Assembly District 1.20,20-Feb,,,
20-Feb,Active Voters by Assembly District 2.20,20-Mar,,,
20-Mar,Active Voters by Assembly District 3.20,20-Apr,,,
20-Apr,Active Voters by Assembly District 4.20,20-Apr,,,
20-May,Active Voters by Assembly District 5.20,20-Jun,,,
20-Jun,Active Voters by Assembly District 6.20,20-Jul,,,
20-Jul,Active Voters by Assembly District 7.20,20-Aug,,,
20-Aug,Active Voters by Assembly District 8.20,20-Sep,,,
20-Sep,Active Voters by Assembly District 9.20,20-Oct,,,
20-Oct,Active Voters by Assembly District 10.20,20-Nov,,,
20-Nov,Active Voters by Assembly District 11.20,20-Dec,,,
20-Dec,Active Voters by Assembly District 12.20,21-Jan,,,
19-Jan,Active Voters Voter Registration by ASSEMBLY DISTRICT 1.2019,NA,,,
19-Feb,2.2019 Active Voters BY ASSEMBLY DISTRICT,19-Feb,,,
19-Mar,March Active Voters BY ASSEMBLY,19-Mar,,,
19-Apr,Copy of Active Voters Voter Registration by ASSEMBLY DISTRICT,19-Apr,,,
19-May,Active Voters BY ASSEMBLY DISTRICT,19-Jun,,,
19-Jun,Active Voters BY ASSEMBLY DISTRICT 6.19,19-Jul,,,
19-Jul,Active Voters  ASSEMBLY DISTRICT 7.19,19-Jul,,,
19-Aug,Active Voters  ASSEMBLY DISTRICT 8.19,19-Sep,,,
19-Sep,Active Voters  ASSEMBLY DISTRICT 9.19,19-Oct,,,
19-Oct,Active Voters Voter Registration by ASSEMBLY DISTRICT 10.19,19-Nov,,,
19-Nov,Active Voters by ASSEMBLY DISTRICT 11.19,19-Dec,,,
19-Dec,Active Voters Voter Registration by ASSEMBLY DISTRICT 12.19,20-Jan,,,
18-Jan,Voter Registration by ASSEMBLY DISTRICT Jan.18,18-Feb,,,
18-Feb,Active Voters by ASSEMBLY DISTRICT 2.18,18-Mar,,,
18-Mar,Active Voters BY ASSEMBLY DISTRICT 3.18,18-Apr,,,
18-Apr,Active Voters BY ASSEMBLY DISTRICT 4.18,18-May,,,
18-May,Active Voters by ASSEMBLY DISTRICT 5.18,18-May,,,
18-Jun,Active Voters by ASSEMBLY DISTRICT 6.18,18-Jul,,,
18-Jul,Active Voters Voter Registration by ASSEMBLY DISTRICT 7.18,NA,,,
18-Aug,08.2018 Active Voters by ASSEMBLY DISTRICT,18-Sep,,,
18-Sep,10.18 Active Voters by ASSEMBLY DISTRICT,18-Oct,this one also has an odd number of Party columns-- 2 less than the rest,,
18-Oct,1018CloseActiveVotersBYNEV,18-Oct,this one is a pdf,,1018CloseActiveVotersBYNEV_CSV
18-Nov,Active Voters Voter Registration by ASSEMBLY DISTRICT,18-Dec,,,
18-Dec,12.18 Voter Registration by ASSEMBLY DISTRICT (1),FILE IS CORRUPTED__ IT CANNOT BE OPENED,,,
