"Month","Year","Assembly_District","Democrat","Green","Independent","Libertarian","Natural Law","Non-Partisan","Other","Republican"
"February",2019,"1",18755,46,1662,317,0,8920,261,11638
"February",2019,"2",14227,46,1759,372,0,9335,170,16007
"February",2019,"3",14592,55,1078,243,0,6997,269,6636
"February",2019,"4",16851,62,2008,479,0,10090,231,16856
"February",2019,"5",14215,49,1455,347,0,7845,204,11519
"February",2019,"6",18102,37,883,185,0,6573,532,2792
"February",2019,"7",18877,58,1180,211,0,7629,350,6279
"February",2019,"8",15066,54,1407,372,0,8902,208,9431
"February",2019,"9",17867,60,1930,480,0,11487,239,13894
"February",2019,"10",13345,50,1100,264,0,6525,261,6455
"February",2019,"11",12118,40,791,200,0,5742,337,2728
"February",2019,"12",17457,51,1556,325,0,9063,285,11840
"February",2019,"13",13831,38,1878,377,0,8774,192,17154
"February",2019,"14",14421,55,952,186,0,6711,335,4827
"February",2019,"15",15310,62,1248,298,0,7300,357,6060
"February",2019,"16",14304,57,1341,392,0,8403,510,5712
"February",2019,"17",19292,48,1425,310,0,8761,315,8602
"February",2019,"18",16094,76,1373,343,0,8377,317,7942
"February",2019,"19",12914,46,1926,306,0,8603,214,15426
"February",2019,"20",15366,65,1455,357,0,8056,324,9049
"February",2019,"21",13999,58,1655,374,0,8117,200,11537
"February",2019,"22",15475,36,2091,440,0,10152,201,18136
"February",2019,"23",15338,49,2586,465,0,10590,186,23135
"February",2019,"24",15733,190,1515,539,4,8984,493,7939
"February",2019,"25",15569,122,2040,541,9,9202,352,19721
"February",2019,"26",15222,110,2188,651,7,10460,369,21795
"February",2019,"27",14494,137,1691,482,11,8516,353,11445
"February",2019,"28",12521,22,751,171,0,5614,272,2992
"February",2019,"29",16143,60,1825,413,0,9572,241,14349
"February",2019,"30",13659,113,1563,408,10,7441,307,10643
"February",2019,"31",14042,101,2004,540,10,8373,299,16455
"February",2019,"32",8651,46,1799,377,11,6892,191,18731
"February",2019,"33",5507,18,1684,334,3,5722,106,16950
"February",2019,"34",15862,60,1496,357,0,8208,232,10595
"February",2019,"35",18632,49,2088,536,0,12344,242,15084
"February",2019,"36",12165,74,2714,472,5,8997,172,20891
"February",2019,"37",15614,45,1749,328,0,8616,207,15365
"February",2019,"38",8095,59,2446,508,2,7367,183,21421
"February",2019,"39",11285,88,2565,579,8,8500,145,26295
"February",2019,"40",11770,72,1996,485,4,7201,229,18265
"February",2019,"41",16055,62,1772,459,0,9631,216,12761
"February",2019,"42",12896,55,1112,263,0,6751,213,6715
"April",2019,"1",17813,45,1571,308,0,8448,242,11107
"April",2019,"2",13416,42,1648,343,0,8773,164,15078
"April",2019,"3",13940,50,1024,237,0,6643,257,6364
"April",2019,"4",15970,56,1886,450,0,9485,212,16099
"April",2019,"5",13432,46,1356,334,0,7409,198,10981
"April",2019,"6",17340,36,835,181,0,6312,513,2704
"April",2019,"7",17893,54,1125,196,0,7240,324,6014
"April",2019,"8",14236,50,1341,340,0,8424,194,8965
"April",2019,"9",16910,52,1796,428,0,10880,218,13197
"April",2019,"10",12574,43,1052,244,0,6163,236,6181
"April",2019,"11",11617,37,767,190,0,5505,315,2627
"April",2019,"12",16683,48,1490,297,0,8645,273,11475
"April",2019,"13",13190,34,1792,344,0,8362,180,16461
"April",2019,"14",13711,53,898,170,0,6390,315,4612
"April",2019,"15",14636,56,1190,280,0,6958,323,5777
"April",2019,"16",13496,53,1267,367,0,7980,480,5448
"April",2019,"17",18320,46,1364,288,0,8267,278,8169
"April",2019,"18",15241,71,1313,326,0,7929,289,7622
"April",2019,"19",12383,42,1840,292,0,8215,201,14853
"April",2019,"20",14369,61,1358,338,0,7553,291,8570
"April",2019,"21",13204,53,1560,343,0,7663,179,10953
"April",2019,"22",14620,33,1957,408,0,9633,177,17271
"April",2019,"23",14724,47,2466,439,0,10199,171,22330
"April",2019,"24",15736,188,1514,542,5,8955,498,7975
"April",2019,"25",15641,120,2073,537,10,9280,351,19805
"April",2019,"26",15313,109,2221,664,7,10573,367,21885
